"label","gradyear,gender,age,NumberOffriends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,cute,sex,sexy,hot,kissed,dance,band,marching,music,rock,god,church,jesus,bible,hair,dress,blonde,mall,shopping,clothes,hollister,abercrombie,die,death,drunk,drugs","id"
"Extrovert",-1.6833871270812595,1
"Extrovert",-1.683155036319647,2
"Extrovert",-1.6829229455580346,3
"Extrovert",-1.682690854796422,4
"Extrovert",-1.6824587640348099,5
"Extrovert",-1.6822266732731974,6
"Extrovert",-1.681994582511585,7
"Extrovert",-1.6817624917499725,8
"Extrovert",-1.68153040098836,9
"Extrovert",-1.6812983102267476,10
"Extrovert",-1.6810662194651353,11
"Extrovert",-1.680834128703523,12
"Extrovert",-1.6806020379419104,13
"Extrovert",-1.680369947180298,14
"Extrovert",-1.6801378564186855,15
"Extrovert",-1.6799057656570733,16
"Extrovert",-1.6796736748954608,17
"Extrovert",-1.6794415841338484,18
"Extrovert",-1.679209493372236,19
"Extrovert",-1.6789774026106234,20
"Extrovert",-1.6787453118490112,21
"Extrovert",-1.6785132210873988,22
"Extrovert",-1.6782811303257863,23
"Extrovert",-1.6780490395641738,24
"Extrovert",-1.6778169488025614,25
"Extrovert",-1.6775848580409491,26
"Extrovert",-1.6773527672793367,27
"Extrovert",-1.6771206765177242,28
"Extrovert",-1.6768885857561118,29
"Extrovert",-1.6766564949944993,30
"Extrovert",-1.6764244042328869,31
"Extrovert",-1.6761923134712746,32
"Extrovert",-1.6759602227096622,33
"Extrovert",-1.6757281319480497,34
"Extrovert",-1.6754960411864372,35
"Extrovert",-1.6752639504248248,36
"Extrovert",-1.6750318596632126,37
"Extrovert",-1.6747997689016,38
"Extrovert",-1.6745676781399876,39
"Extrovert",-1.6743355873783752,40
"Extrovert",-1.6741034966167627,41
"Extrovert",-1.6738714058551505,42
"Extrovert",-1.673639315093538,43
"Extrovert",-1.6734072243319256,44
"Extrovert",-1.6731751335703131,45
"Extrovert",-1.6729430428087007,46
"Extrovert",-1.6727109520470884,47
"Extrovert",-1.672478861285476,48
"Extrovert",-1.6722467705238635,49
"Extrovert",-1.672014679762251,50
"Extrovert",-1.6717825890006386,51
"Extrovert",-1.6715504982390261,52
"Extrovert",-1.671318407477414,53
"Extrovert",-1.6710863167158014,54
"Extrovert",-1.670854225954189,55
"Extrovert",-1.6706221351925765,56
"Extrovert",-1.670390044430964,57
"Extrovert",-1.6701579536693518,58
"Extrovert",-1.6699258629077394,59
"Extrovert",-1.669693772146127,60
"Extrovert",-1.6694616813845145,61
"Extrovert",-1.669229590622902,62
"Extrovert",-1.6689974998612898,63
"Extrovert",-1.6687654090996773,64
"Extrovert",-1.6685333183380648,65
"Extrovert",-1.6683012275764524,66
"Extrovert",-1.66806913681484,67
"Extrovert",-1.6678370460532277,68
"Extrovert",-1.6676049552916152,69
"Extrovert",-1.6673728645300028,70
"Extrovert",-1.6671407737683903,71
"Extrovert",-1.6669086830067779,72
"Extrovert",-1.6666765922451654,73
"Extrovert",-1.6664445014835532,74
"Extrovert",-1.6662124107219407,75
"Extrovert",-1.6659803199603282,76
"Extrovert",-1.6657482291987158,77
"Extrovert",-1.6655161384371033,78
"Extrovert",-1.665284047675491,79
"Extrovert",-1.6650519569138786,80
"Extrovert",-1.6648198661522662,81
"Extrovert",-1.6645877753906537,82
"Extrovert",-1.6643556846290413,83
"Extrovert",-1.664123593867429,84
"Extrovert",-1.6638915031058166,85
"Extrovert",-1.6636594123442041,86
"Extrovert",-1.6634273215825917,87
"Extrovert",-1.6631952308209792,88
"Extrovert",-1.662963140059367,89
"Extrovert",-1.6627310492977545,90
"Extrovert",-1.662498958536142,91
"Extrovert",-1.6622668677745296,92
"Extrovert",-1.6620347770129171,93
"Extrovert",-1.6618026862513047,94
"Extrovert",-1.6615705954896924,95
"Extrovert",-1.66133850472808,96
"Extrovert",-1.6611064139664675,97
"Extrovert",-1.660874323204855,98
"Extrovert",-1.6606422324432426,99
"Extrovert",-1.6604101416816304,100
"Extrovert",-1.660178050920018,101
"Extrovert",-1.6599459601584055,102
"Extrovert",-1.659713869396793,103
"Extrovert",-1.6594817786351805,104
"Extrovert",-1.6592496878735683,105
"Extrovert",-1.6590175971119558,106
"Extrovert",-1.6587855063503434,107
"Extrovert",-1.658553415588731,108
"Extrovert",-1.6583213248271185,109
"Extrovert",-1.6580892340655062,110
"Extrovert",-1.6578571433038938,111
"Extrovert",-1.6576250525422813,112
"Extrovert",-1.6573929617806689,113
"Extrovert",-1.6571608710190564,114
"Extrovert",-1.656928780257444,115
"Extrovert",-1.6566966894958317,116
"Extrovert",-1.6564645987342193,117
"Extrovert",-1.6562325079726068,118
"Extrovert",-1.6560004172109943,119
"Extrovert",-1.6557683264493819,120
"Extrovert",-1.6555362356877696,121
"Extrovert",-1.6553041449261572,122
"Extrovert",-1.6550720541645447,123
"Extrovert",-1.6548399634029323,124
"Extrovert",-1.6546078726413198,125
"Extrovert",-1.6543757818797076,126
"Extrovert",-1.6541436911180951,127
"Extrovert",-1.6539116003564827,128
"Extrovert",-1.6536795095948702,129
"Extrovert",-1.6534474188332577,130
"Extrovert",-1.6532153280716455,131
"Extrovert",-1.652983237310033,132
"Extrovert",-1.6527511465484206,133
"Extrovert",-1.6525190557868081,134
"Extrovert",-1.6522869650251957,135
"Extrovert",-1.6520548742635834,136
"Extrovert",-1.651822783501971,137
"Extrovert",-1.6515906927403585,138
"Extrovert",-1.651358601978746,139
"Extrovert",-1.6511265112171336,140
"Extrovert",-1.6508944204555211,141
"Extrovert",-1.650662329693909,142
"Extrovert",-1.6504302389322965,143
"Extrovert",-1.650198148170684,144
"Extrovert",-1.6499660574090715,145
"Extrovert",-1.649733966647459,146
"Extrovert",-1.680834128703523,147
"Extrovert",-1.6495018758858468,148
"Extrovert",-1.6492697851242344,149
"Extrovert",-1.649037694362622,150
"Extrovert",-1.6488056036010095,151
"Extrovert",-1.648573512839397,152
"Extrovert",-1.6483414220777848,153
"Extrovert",-1.6481093313161723,154
"Extrovert",-1.6478772405545599,155
"Extrovert",-1.6476451497929474,156
"Extrovert",-1.647413059031335,157
"Extrovert",-1.6471809682697227,158
"Extrovert",-1.6469488775081103,159
"Extrovert",-1.6467167867464978,160
