"﻿StudentID","Age","Gender","Ethnicity","ParentalEducation","StudyTimeWeekly","Absences","Tutoring","ParentalSupport","Extracurricular","Sports","Music","Volunteering","GPA","confidence(2)","confidence(1)","confidence(4)","confidence(3)","confidence(0)","prediction(GradeClass)"
"2460","17","0","0","2","16.180","29","0","2","0","0","0","0","0.589",1.9871207869521764E-4,3.7911645950202143E-4,0.9985875771088335,1.641285110188133E-4,6.70465841950199E-4,"4"
"2461","15","0","1","2","16.007","29","1","0","0","1","1","0","0.682",5.728432418028009E-8,1.473490934419444E-7,0.9999973467928176,5.846163304216139E-8,2.390112131581332E-6,"4"
"2462","15","0","3","2","9.140","5","1","3","0","0","0","0","2.819",0.25733234312916,0.6197538707114163,5.71749692849846E-7,0.12278645125491028,1.2676315482050037E-4,"1"
"2463","15","1","1","1","12.130","25","0","3","0","0","1","0","0.745",1.6459788556452302E-4,5.706309836587489E-4,0.9953283783694762,1.6806104192219537E-4,0.0037683317193785842,"4"
"2464","17","0","0","2","12.085","29","0","4","1","0","0","1","0.725",2.193215785781674E-4,4.1625670622676174E-4,0.9926625125355498,1.2682059338688868E-4,0.006575088586258471,"4"
"2465","17","1","0","2","16.543","8","1","1","1","0","0","0","2.927",0.43607378797825824,0.14215942889342512,0.0018426425751444497,0.41982939583213597,9.47447210362452E-5,"2"
"2466","16","0","1","0","8.500","29","0","2","1","1","0","0","0.552",3.165707826595809E-4,0.0010457199395403985,0.9838341078006725,2.0461059995814212E-4,0.014598990877169404,"4"
"2467","16","1","0","2","5.509","24","0","3","1","1","0","0","1.299",5.6073016532678586E-8,1.338724736057232E-7,0.9999973659292004,4.8165978021820365E-8,2.395959331380551E-6,"4"
"2468","16","0","2","1","5.301","25","0","3","1","1","0","1","1.187",3.846749663135084E-8,1.5444202065538922E-7,0.9999965638144181,3.680785252712567E-8,3.206468212038386E-6,"4"
"2469","18","1","2","1","10.724","3","0","3","0","1","0","1","3.333",0.07879114277163062,0.20464009267949412,4.249441302500939E-7,0.0061294074791668415,0.7104389321255781,"0"
"2470","15","1","1","0","8.983","16","0","1","0","0","0","0","1.489",2.0463768299884086E-4,1.7011409060883232E-7,0.9981097600793497,0.001685083879894861,3.4824366600667225E-7,"4"
